respondent_id,party_id,V162313,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113
152,Republican,50,60,60,NA,85,0,60,50,60,0,50,70,50,85,15,50,70,0,85,100
153,Democrat,40,50,60,70,60,70,60,70,50,70,50,70,70,70,85,70,70,60,70,70
154,Independent,0,50,50,50,30,50,30,50,50,50,30,0,50,50,50,50,85,50,70,0
155,Independent,0,70,50,40,50,100,70,85,70,40,30,50,50,100,100,85,100,40,85,0
156,Republican,85,80,50,60,60,80,50,80,70,80,40,70,70,80,90,NA,80,70,70,80
157,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,Republican,NA,50,30,50,60,60,40,40,30,50,40,30,40,60,50,50,60,50,85,50
159,Democrat,15,50,15,0,40,50,30,60,15,50,15,50,30,50,50,30,15,50,50,0
160,Democrat,30,70,50,40,70,50,60,60,85,30,70,60,15,70,50,50,100,50,85,50
161,Independent,40,70,50,15,60,70,40,15,40,50,50,70,50,50,50,40,60,50,60,50
162,Republican,85,40,85,85,70,85,60,60,70,85,40,70,85,85,100,30,85,85,85,85
163,Republican,30,50,60,60,50,70,50,60,85,40,70,40,60,60,50,50,100,50,85,7
164,Democrat,0,40,30,15,15,70,60,70,50,15,30,70,30,85,70,85,85,30,70,NA
165,Republican,70,100,70,70,85,100,85,85,100,100,85,85,85,85,70,70,85,70,100,85
166,Republican,15,40,60,60,70,50,30,50,50,60,30,50,50,60,50,60,85,50,70,50
167,Independent,50,40,40,60,60,100,70,40,60,50,50,30,100,85,100,15,60,100,100,30
168,Independent,50,40,70,40,50,50,40,50,70,50,30,50,50,70,50,50,85,50,85,40
169,Republican,70,100,85,50,85,100,50,70,50,50,50,50,60,100,100,50,70,50,70,100
170,Republican,15,70,50,50,60,85,70,70,50,50,50,50,85,60,60,100,100,50,100,60
171,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,Democrat,40,70,50,15,100,70,70,30,40,0,70,50,0,100,40,50,85,30,85,40
173,Democrat,50,55,60,60,55,85,70,75,55,60,30,65,60,95,80,80,70,50,85,30
174,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Democrat,15,30,30,30,30,40,60,70,70,85,40,40,30,60,85,60,70,40,100,0
176,Democrat,30,50,50,15,40,50,60,85,60,50,15,50,50,70,50,70,100,50,85,15
177,Republican,50,15,70,85,70,70,30,30,70,85,50,40,85,70,50,15,70,100,100,100
178,Independent,30,70,60,60,60,70,85,70,70,60,70,50,60,70,60,70,70,60,70,60
179,Independent,70,50,30,50,50,50,60,50,50,60,50,30,60,70,50,50,60,60,40,30
180,Independent,40,50,40,40,50,70,50,30,60,50,40,85,40,85,30,40,85,30,100,40
181,Independent,85,50,50,50,50,0,60,60,50,15,40,50,40,50,50,50,40,50,50,70
182,Republican,30,0,85,85,60,60,15,15,40,85,30,40,30,40,70,15,70,85,70,70
183,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,Democrat,0,100,40,0,40,85,60,100,70,0,40,60,50,100,70,100,100,15,50,0
185,Democrat,0,85,15,15,15,50,85,100,50,0,50,85,15,85,85,85,85,0,85,0
186,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,Independent,10,15,60,15,60,15,85,15,70,70,0,40,50,85,60,0,15,60,90,15
188,Democrat,70,100,15,0,15,85,60,60,60,50,60,60,40,100,100,60,100,50,50,0
189,Democrat,15,50,15,30,15,50,50,60,70,50,30,50,50,50,50,60,85,50,50,15
190,Democrat,40,40,40,60,70,50,60,40,60,50,40,50,50,85,70,50,85,50,70,60
191,Democrat,0,50,50,40,30,50,50,70,70,50,30,50,50,50,50,0,70,50,85,50
192,Independent,50,100,100,85,100,100,100,100,100,0,100,85,50,100,100,50,100,0,100,100
193,Republican,85,70,70,70,85,85,15,15,85,85,30,50,85,85,85,0,85,85,70,85
194,Independent,40,40,60,50,40,60,40,70,50,85,50,50,60,85,85,50,60,70,85,60
195,Republican,70,0,100,85,85,100,40,0,70,85,15,30,60,40,70,0,70,70,100,85
196,Independent,30,60,85,30,15,70,70,85,100,40,15,70,85,100,100,30,100,50,100,60
197,Independent,50,85,60,60,40,85,70,50,70,85,85,70,85,85,50,70,70,70,70,85
198,Republican,70,60,30,40,60,70,60,60,70,30,40,50,50,85,70,50,70,30,60,40
199,Democrat,15,60,40,15,30,85,50,85,70,50,70,70,40,85,60,60,85,50,70,15
200,Republican,50,0,100,85,50,50,60,40,70,100,50,50,50,50,50,15,60,100,100,100
201,Democrat,50,70,50,40,30,60,70,70,60,50,40,50,40,60,50,40,85,40,70,30
202,Republican,85,15,100,85,85,85,15,60,NA,100,0,NA,NA,NA,NA,0,40,100,100,100
203,Republican,20,15,0,70,100,70,30,15,60,0,15,60,15,100,85,0,100,0,100,0
204,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,Independent,30,50,100,40,85,100,50,85,70,50,50,50,85,100,100,50,100,100,85,0
206,Independent,60,NA,50,50,60,60,60,50,60,30,60,50,30,70,NA,NA,70,30,50,30
207,Democrat,40,70,NA,60,60,85,50,70,70,15,60,70,60,100,70,60,85,15,85,40
208,Democrat,50,100,85,30,0,85,15,85,60,50,40,60,50,85,100,85,70,50,70,60
209,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,Democrat,0,40,40,30,50,40,60,60,50,0,50,40,50,70,50,50,60,0,80,0
211,Independent,15,50,50,50,70,85,50,50,50,50,50,50,50,50,50,50,100,30,100,50
212,Independent,40,85,30,50,70,85,70,60,60,0,60,50,0,100,85,60,70,0,70,70
213,Independent,60,15,70,85,60,100,0,40,60,85,40,50,85,85,85,0,60,85,85,85
214,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,Republican,50,85,NA,NA,60,70,15,60,60,0,0,40,NA,70,70,NA,0,NA,70,60
216,Democrat,0,70,30,30,30,85,50,60,60,50,40,50,85,100,85,70,85,15,70,0
217,Independent,50,40,50,60,30,60,40,50,60,70,40,40,60,60,70,30,70,70,60,50
218,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,Democrat,70,70,50,50,50,60,40,85,60,50,85,70,60,100,100,85,85,50,100,50
220,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,Democrat,0,100,0,0,30,100,100,100,70,0,15,100,15,100,100,100,100,0,85,0
222,Independent,15,60,60,60,70,85,100,60,60,85,30,60,50,85,100,50,85,70,70,85
223,Republican,NA,30,50,85,50,100,50,50,70,70,60,60,85,60,100,40,85,70,85,100
224,Democrat,50,70,50,50,100,50,40,50,50,50,85,50,50,85,50,50,100,50,100,70
225,Independent,50,70,60,60,60,70,50,40,85,50,50,50,60,60,60,50,85,50,85,50
226,Independent,15,85,50,30,60,85,60,70,60,85,60,85,60,100,85,69,85,50,60,15
227,Democrat,40,50,40,40,60,90,40,60,60,70,50,70,60,100,100,50,90,70,70,40
228,Republican,50,60,70,60,60,100,60,40,70,100,50,50,85,85,100,85,100,100,70,100
229,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,Independent,100,40,100,70,60,100,30,0,40,100,40,50,100,70,100,50,40,100,100,100
231,Democrat,40,40,40,15,40,85,50,60,50,30,15,50,50,85,85,50,100,50,85,50
232,Republican,50,100,NA,NA,70,100,85,NA,85,15,100,40,NA,100,50,50,85,50,85,NA
233,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,Republican,40,40,70,70,60,60,40,70,60,70,40,70,60,70,70,50,85,60,60,40
235,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,Independent,40,40,60,50,60,85,50,70,40,60,50,60,60,70,85,50,85,60,70,40
237,Independent,50,85,50,50,70,100,70,50,85,70,50,0,50,85,85,40,40,60,100,50
238,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,Republican,70,40,100,85,50,85,40,40,85,85,70,50,70,85,85,30,85,85,85,85
240,Independent,NA,85,40,60,85,85,60,60,85,40,70,50,40,85,85,50,85,40,50,40
241,Republican,100,30,85,85,50,50,40,15,70,100,15,50,85,40,85,0,70,100,85,70
242,Republican,60,85,50,50,70,100,85,50,85,50,70,100,50,85,85,50,85,50,85,50
243,Democrat,30,70,50,30,30,70,40,60,50,50,40,40,50,70,50,50,70,50,60,30
244,Democrat,50,50,50,50,40,85,50,50,50,100,50,NA,NA,85,NA,50,85,85,85,50
245,Democrat,0,85,30,0,15,100,60,85,40,0,40,85,70,100,85,85,85,0,70,0
246,Independent,50,50,50,50,50,70,50,50,50,50,50,50,50,50,50,50,0,50,50,50
247,Republican,40,100,15,40,100,85,15,40,50,85,40,85,85,70,85,40,85,85,100,40
248,Independent,60,50,70,70,85,70,70,60,70,70,50,50,70,70,70,85,50,70,85,NA
249,Republican,70,60,100,85,85,100,70,85,50,100,60,30,85,70,70,50,85,100,100,100
250,Republican,0,85,50,50,60,100,50,50,60,0,70,50,0,100,50,0,100,50,70,50
251,Democrat,40,70,50,0,50,70,70,85,15,60,30,85,55,100,85,0,100,60,70,0
252,Republican,0,70,100,70,85,70,85,85,85,50,85,50,50,85,50,70,85,50,85,100
253,Republican,NA,60,85,85,70,85,40,60,85,85,50,70,70,85,85,50,70,70,85,85
254,Republican,50,85,85,85,60,100,30,40,50,100,50,30,100,100,100,50,60,100,100,85
255,Democrat,15,85,15,0,0,85,85,100,60,50,30,50,40,100,85,85,100,15,60,0
256,Democrat,30,50,30,30,60,85,70,60,70,50,30,70,60,100,85,40,100,40,85,30
257,Independent,50,60,50,60,60,60,40,50,60,50,60,40,60,85,70,40,70,40,85,60
258,Democrat,15,70,15,30,70,85,85,70,60,40,50,50,50,85,70,50,85,50,50,0
259,Republican,85,30,70,70,60,70,50,40,40,70,40,50,70,60,70,30,70,70,60,70
260,Democrat,40,70,50,15,70,60,60,85,50,50,40,60,50,85,60,85,85,50,50,15
261,Independent,60,85,60,85,70,85,50,70,50,85,50,70,85,85,85,50,85,85,85,60
262,Republican,40,NA,50,50,50,70,40,50,40,0,50,85,30,70,NA,15,60,NA,60,15
263,Republican,50,95,60,50,60,90,80,80,70,0,85,80,80,95,95,50,85,0,100,90
264,Democrat,40,40,60,50,30,60,15,60,40,50,50,50,50,85,50,30,85,50,85,15
265,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,Democrat,0,60,50,15,100,100,70,100,70,50,70,40,50,85,85,70,100,50,60,0
267,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,Independent,15,50,50,40,70,50,30,60,50,50,30,50,50,50,50,60,50,50,70,50
269,Independent,0,50,50,30,40,70,0,50,15,85,0,50,50,85,70,50,85,85,70,60
270,Republican,70,NA,NA,NA,NA,60,50,85,NA,NA,60,50,NA,50,NA,NA,60,NA,85,70
271,Republican,50,85,50,50,85,70,70,50,70,50,85,50,50,85,50,70,85,50,85,70
272,Republican,70,70,50,NA,50,50,70,50,70,50,70,70,50,100,50,60,85,0,70,70
273,Independent,15,60,60,50,50,85,35,50,50,100,50,50,85,70,90,40,70,100,100,70
274,Democrat,0,50,50,30,40,60,40,70,40,50,40,60,40,60,50,50,100,50,70,15
275,Democrat,60,50,50,0,30,50,50,70,60,40,30,50,0,100,50,50,60,0,70,50
276,Republican,60,50,70,60,50,70,60,40,50,70,50,70,85,60,70,50,70,60,85,85
277,Independent,50,50,60,60,70,70,70,70,70,50,70,60,60,60,60,60,70,50,70,NA
